name,group_type
Aviation  Rotables Llc,1
Aerotech Consultancy NZ Limited,1
Ascend Aviation India PVT Ltd,1
Asia Aerotechnics Sdn. Bhd,1
BUT KLM Royal Dutch Airlines,1
PT. Cranindo Services Utama,1
Dviation Solutions SDN.BHD,1
Fly Meta Leasing Co. Limited,1
GASL Leasing Ireland No. 4 Limited,1
"Glary Mechanical & Electrical Co, Ltd",1
Guangzhou Hangxin Avionics Co Ltd,1
I.C.G Global Pte Ltd,1
Jetone X Lcc,1
"JSA International U.S. Holdings, Llc",1
PT. Kereta Api Balai Yasa Yogyakarta,1
K-Mile Air Company Ltd,1
Koncar – Geneators and Motors Ltd,1
Malaysian Airlines,1
Martin Air,1
MGT Europe,1
Mid Africa Aviation FZC,1
Mirage Air Craft Services,1
Morefortune(S) Pte.Ltd,1
Nakiwa M&S Sdn Bhd,1
PT. PLN(Persero),1
PT. Aero Jasa Cargo,1
PT. Argatech Multi Sinergi,1
PT. Austindo Prima Daya Abadi,1
PT. Pertamina(Persero),1
PT. PLN(Persero),1
PT. Spektrum Data Geosurvey,1
PT. Jatayu Jaya Indonesia,1
PT. Aerowisata,1
PT. Dunia Logistik,1
PT. Garuda Daya Pratama Sejahtera,1
PT. Sriwijaya Air,1
PT. Andima Transportindo,1
PT. Jackron Cipta Sakina,1
Regent Aerospace Corp,1
Royal Brunei Airlines Sdn Bhd,1
San Marino Executive Aviation S.r.l,1
SDV Logistic East Timor,1
Shandong Airlines,1
Surya Air,1
Tarco Aviation.Co. Ltd,1
Trion Aerospace,1
Virgin Australia International Airline,1
"A&M Aerospace, Inc",1
AABS Aviation 1 (France) Sarl,1
AAR Corp,1
Acia Aero Parts Company SAS,1
ACS Aero 2 Epsilon Limited,1
PT. ACS Catering Service,1
ACTC BV,1
Aeolus Engine Services,1
AerCap Ireland Limited,1
PT. Aering,1
Aermach. Ltd,1
"Aero Capital Solutions, Inc",1
Aero Connections FZE,1
"Aero Controls, Inc",1
"Aero Dili Transport Services, S.A",1
"Aero Direct, Inc",1
Aero Enterprises USA Llc,1
Aero Nusantara Indonesia,1
Aero Parts Africa CC,1
PT. Aero Systems Indonesia,1
Aerobay,1
Aerodynamics International,1
"Aeroeagle Resources Asia, Pte Ltd",1
Aerofleet Ltd,1
"Aeroparts Egypt, Inc.",1
Aeropenta,1
Aeroservices Ltd,1
Aeroskytech Global LDA ,1
Aerospace Technical Services,1
Aerotranscargo,1
