CUSTOMER,PRODUCT,TRANSACTION TYPE,YEAR,GROUP TYPE,PROSPECT TYPE,STRATEGIC INITIATIVE,SALES TYPE,PROJECT MANAGER,HANGAR,LINE,UNIT,AMS,AREA,COUNTRY,REGION,AC/ENG/APU/COMP,AC-REG,MAINTENANCE EVENT,MARKET SHARE,SALES PLAN,Sales Updated,REMARKS,SO NUMBER,START DATE,TAT,END DATE,SALES LEVEL,STATUS,CANCEL,REASON
Garuda Indonesia,Airframe,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance Dec,68882,68882,47528,,,12/1/2022,31,1/1/2023,1,Open,,
Garuda Indonesia,Airframe,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance Nov,68882,68882,47528,,,11/1/2022,30,12/1/2022,1,Open,,
Garuda Indonesia,Airframe,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance Oct,68882,68882,47528,,,10/1/2022,31,11/1/2022,1,Closed - In,,
Garuda Indonesia,Airframe,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance Sept,68882,68882,47528,,,9/1/2022,30,10/1/2022,1,Closed - In,,
Garuda Indonesia,Airframe,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance Aug,68882,68882,47528,,,8/1/2022,31,9/1/2022,1,Closed - In,,
Garuda Indonesia,Airframe,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance July,68882,68882,47528,,,7/1/2022,31,8/1/2022,1,Closed - In,,
Garuda Indonesia,Airframe,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance June,68882,68882,47528,,,6/1/2022,30,7/1/2022,1,Closed - In,,
Garuda Indonesia,Airframe,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance May,68882,68882,47528,,,5/1/2022,31,6/1/2022,1,Closed - In,,
Garuda Indonesia,Airframe,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance Apr,68882,68882,47528,,,4/1/2022,30,5/1/2022,1,Closed - In,,
Garuda Indonesia,Airframe,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance Mar,68882,68882,47528,,,3/1/2022,31,4/1/2022,1,Closed - In,,
Garuda Indonesia,Airframe,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance Feb,68882,68882,47528,,,2/1/2022,28,3/1/2022,1,Closed - In,,
Garuda Indonesia,Airframe,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance Jan,68882,68882,47528,,,1/1/2022,31,2/1/2022,1,Closed - In,,
Garuda Indonesia,Airframe,TMB,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,A330,PK-GPU,D04-Check,2143276,2143276,2143276,,,11/4/2022,30,12/4/2022,1,Closed - In,,
Garuda Indonesia,Airframe,TMB,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,A330,PK-GPY,D01-Check,1619994,1619994,1619994,,,15/07/2022,46,30/08/2022,2,Cancelled,Missed Plan,Cancelled by system - AMS not Updated Data per 30 Oct 2022
Garuda Indonesia,Airframe,TMB,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,A330,PK-GPV,D01-Check,1582467,1582467,1582467,,,5/5/2022,46,20/06/2022,1,Closed - Sales,,
Garuda Indonesia,Airframe,TMB,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,A330,PK-GHC,D01-Check,1619994,1619994,1619994,,,7/1/2022,46,16/08/2022,2,Cancelled,Missed Plan,Cancelled by system - AMS not Updated Data per 30 Oct 2022
Garuda Indonesia,Airframe,TMB,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,A330,PK-GHA,D01-Check,1619994,1619994,1619994,,,22/05/2022,46,7/7/2022,1,Closed - In,,
Garuda Indonesia,Airframe,TMB,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,A330,PK-GPU,D01-Check,1619994,1619994,1619994,,,2/3/2022,46,21/03/2022,2,Cancelled,Missed plan,NA
Garuda Indonesia,Component,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance Dec,845170,845170,583167,,,12/1/2022,31,1/1/2023,1,Open,,
Garuda Indonesia,Component,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance Nov,845170,845170,583167,,,11/1/2022,30,12/1/2022,1,Open,,
Garuda Indonesia,Component,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance Oct,845170,845170,583167,,,10/1/2022,31,11/1/2022,1,Closed - In,,
Garuda Indonesia,Component,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance Sept,845170,845170,583167,,,9/1/2022,30,10/1/2022,1,Closed - In,,
Garuda Indonesia,Component,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance Aug,845170,845170,583167,,,8/1/2022,31,9/1/2022,1,Closed - In,,
Garuda Indonesia,Component,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance July,845170,845170,583167,,,7/1/2022,31,8/1/2022,1,Closed - In,,
Garuda Indonesia,Component,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance June,845170,845170,583167,,,6/1/2022,30,7/1/2022,1,Closed - In,,
Garuda Indonesia,Component,PBTH,2022,GA,ORGANIC,,RKAP,,,,,RY,KAM,,,Various,Various,Monthly budget maintenance May,845170,845170,583167,,,5/1/2022,31,6/1/2022,1,Closed - In,,
