CUSTOMER,PRODUCT,TRANSACTION TYPE,YEAR,GROUP TYPE,PROSPECT TYPE,STRATEGIC INITIATIVE,SALES TYPE,PROJECT MANAGER,HANGAR,LINE,UNIT,AMS,AREA,COUNTRY,REGION,AC/ENG/APU/COMP,AC-REG,MAINTENANCE EVENT,MARKET SHARE,SALES PLAN,SALES UPDATED,REMARKS,SO NUMBER,START DATE,TAT,END DATE,SALES LEVEL,STATUS,CANCEL,REASON
Garuda Indonesia,Airframe,TMB Retail,2023,GA,,,RKAP,,,,,RY,KAM,,,B777,PK-GIA,3000 Days (8 Years) Inspection,,1250000,,,,2023-01-01,67,2023-03-08,1,Open,,
Garuda Indonesia,Airframe,TMB Retail,2023,GA,,,RKAP,,,,,RY,KAM,,,B777,PK-GIH,3000 Days (8 Years) Inspection,,685011,,,,2023-07-01,67,2023-09-05,1,Open,,
Garuda Indonesia,Airframe,TMB Retail,2023,GA,,,RKAP,,,,,RY,KAM,,,B777,PK-GIJ,3000 Days (8 Years) Inspection,,685011,,,,2023-10-01,67,2023-12-06,1,Open,,
Garuda Indonesia,Airframe,TMB Retail,2023,GA,,,RKAP,,,,,RY,KAM,,,B777,PK-GII,3000 Days (8 Years) Inspection,,685011,,,,2023-12-01,67,2024-02-05,1,Open,,
Air Caledoine,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,ATR 42/72,,C-check,,125000,,,,2023-03-01,90,2023-05-29,4,Open,,
Air Caledoine,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,ATR 42/72,,C-check,,125000,,,,2023-06-01,90,2023-08-29,4,Open,,
Air Caledoine,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,ATR 42/72,,C-check,,125000,,,,2023-09-01,90,2023-11-29,4,Open,,
Air Caledoine,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,ATR 42/72,,C-check,,125000,,,,2023-12-01,90,2024-02-28,4,Open,,
Airwork,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,B737CL,,C-check,,200000,,,,2023-02-01,90,2023-05-01,3,Open,,
Airwork,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,B737CL,,C-check,,200000,,,,2023-04-01,90,2023-06-29,3,Open,,
Airwork,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,B737CL,,C-check,,200000,,,,2023-06-01,90,2023-08-29,3,Open,,
Airwork,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,B737CL,,C-check,,200000,,,,2023-07-01,90,2023-09-28,3,Open,,
Fiji Airways,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,A330,,Painting,,150000,,,,2023-02-01,30,2023-03-02,3,Open,,
Fiji Airways,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,A330,,Painting,,150000,,,,2023-03-01,30,2023-03-30,3,Open,,
Fiji Airways,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,ATR 42/72,,C-check,,100000,,,,2023-05-01,90,2023-07-29,4,Open,,
Fiji Airways,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,ATR 42/72,,C-check,,100000,,,,2023-08-01,90,2023-10-29,4,Open,,
Fiji Airways,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,ATR 42/72,,C-check,,100000,,,,2023-11-01,90,2024-01-29,4,Open,,
Fiji Airways,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,A330,,C-check,,200000,,,,2023-07-01,90,2023-09-28,4,Open,,
Fiji Airways,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,A330,,C-check,,200000,,,,2023-10-01,90,2023-12-29,4,Open,,
Nauru Airlines,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,B737NG,,C-check,,150000,,,,2023-04-01,90,2023-06-29,4,Open,,
Nauru Airlines,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,B737CL,,C-check,,150000,,,,2023-03-01,90,2023-05-29,4,Open,,
Nauru Airlines,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,B737NG,,C-check,,150000,,,,2023-07-01,90,2023-09-28,4,Open,,
Nauru Airlines,Engine & APU,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,CFM56-3,,Repair,,150000,,,,2023-07-01,30,2023-07-30,4,Open,,
Nauru Airlines,Engine & APU,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,CFM56-3,,Repair,,150000,,,,2023-07-01,30,2023-07-30,4,Open,,
Regional Express,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,B737NG,,C-check,,200000,,,,2023-07-01,90,2023-09-28,4,Open,,
Air Calin,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,A320,,C-check,,150000,,,,2023-05-01,90,2023-07-29,4,Open,,
Air Calin,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,A330,,C-check,,150000,,,,2023-10-01,90,2023-12-29,4,Open,,
Alliance Airlines,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,ATR 42/72,,C-check,,125000,,,,2023-10-01,90,2023-12-29,4,Open,,
Alliance Airlines,Airframe,TMB Project,2023,NGA,,,RKAP,,,,,AS,I,,,ATR 42/72,,C-check,,125000,,,,2023-12-01,90,2024-02-28,4,Open,,
