CUSTOMER;PRODUCT;TRANSACTION TYPE;YEAR;GROUP TYPE;PROSPECT TYPE;STRATEGIC INITIATIVE;SALES TYPE;PROJECT MANAGER;HANGAR;LINE;UNIT;AMS;AREA;COUNTRY;REGION;AC/ENG/APU/COMP;AC-REG;MAINTENANCE EVENT;MARKET SHARE;SALES PLAN;Sales Updated;REMARKS;SO NUMBER;START DATE;TAT;END DATE;SALES LEVEL;STATUS;CANCEL REASON;DETAILED CANCEL REASON
Pupuk Kalimantan Timur;IGTE;TMB Project;2023;NGA;Organic;;Additional;;;;;NA;I;;;GE Frame 5 dan 6;;LTSA Part Repair GE Frame 5 dan 6;;  ;310000;GMF sudah terpilih sebagai pemenang tender, proses pembuatan kontrak dengan PKT. Nilai kontrak di sesuaikan sesuai anggaran menjadi Est 310 KUSD. Kontrak akan di propose renewal apabila sudah habis. Potensi pekerjaan 690 KUSD sesuai jadwal.;;2023-01-31;1095;2026-01-30;1;Closed - Sales;;
Guangzo Hangxin Avionics;Material Trading;TMB Project;2023;NGA;Organic;;Additional;;;;;AM;I;;;Component;Various;Material Trading Offset;;  ;86500;On progress completed support document for offset;;2023-04-28;60;2023-06-27;3;Open;;
Iraqi Airways;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;RM;III;;;B747-400;YI-AQQ;C-Check + LDG change;;500000;500000;Proposal sudah dikirim ke IAW tgl 16Jan. Menunggu respons;;2023-04-29;30;2023-05-29;3;Cancelled;Capacity Capability;No slot available in H1
Griffon Aviation Services;Engine & APU;TMB Project;2023;NGA;Organic;;Additional;;;;;RM;III;;;CFM56-7B;ESN 660863;Engine shop visit;;;400000;Proposal was sent on 25/10;;2023-03-14;90;2023-06-12;2;Open;;
Indonesia AirAsia;Engine & APU;TMB Project;2023;NGA;Organic;;Additional;;;;;IH;II;;;APU GTCP191-9A;P-3281;APU Overhaul;;;400000;w/f proposal approval and No Lien Statement;;2023-03-15;50;2023-05-04;2;Open;;
Aeroeagle;Engine & APU;TMB Project;2023;NGA;Organic;;Additional;;;;;JT;III;;;CFM56-3B1;722370;Performance restoration;;;200535;"- [24 Sep 2022] RFQ received. COGS under progress.
- [5 Oct 2022] COGS and pricing received. Proposal under progress.
- [12 Oct 2022] Proposal submitted.
- [20 Oct 2022] Proposal discussion meeting with Aeroeagle & Trigana.
- [7 Nov 2022] Still under Customer consideration, mostly on budget planning.
- [29 Dec 2022] Induction plan to be carried over to 2023.
- [19 Jan 2023] Maintenance plan cancelled.";;2023-02-20;90;2023-05-21;2;Cancelled;Customer Financial;Owner plans to sell the engine as is due to possible BER.
Griffon Aviation Services;Engine & APU;TMB Project;2023;NGA;Organic;;Additional;;;;;RM;III;;;CFM56-7B;ESN 658905;First shop visit;;;500000;Proposal was sent to griffon;;2023-03-07;90;2023-06-05;3;Open;;
US-Bangla;Airframe;TMB Project;2023;NGA;Organic;;Additional;;;;;SS;II;;;B737NG;S2-AJC;B737NG C-Check;;;300000;Reschedule to May 2023;;2023-05-22;21;2023-06-12;4;Open;;
PLN Paya Pasir;IGTE;TMB Project;2023;NGA;Organic;;Additional;;;;;AM;I;;;ENG;;GE MS6001 Repair Part Stage (Repair Combustion Liner, Transition Piece Repair Cross Fire Tube, Flow Sleeve);;;150000;"- Sudah diinsfeksi oleh team TZ di Indralaya tgl. 18 Okt 22
- Sudah submit penawaran harga di pertengahan November berdasarkan COGS dari team produksi.
- Masih dalam proses pengajuan Anggaran 2023 dan menunggu feedback dari customer jika anggaran sudah disetujui";;2023-04-28;120;2023-08-26;3;Open;;
PLN Belawan;IGTE;TMB Project;2023;NGA;Organic;;Additional;;;;;AM;I;;;;;Refurbish Rotor dan Stator Blade Turbin Siemens V94.2;;;400000;"- Proposal sudah di submit
- Informasi dari customer pekerjaan estimasi paling cepat dimulai pertengehan tahun 2023
- Menunggu Tender";;2023-06-28;180;2023-12-25;4;Open;;
AFO Aircraft (NZ) Limited;Engine & APU;TMB Project;2023;NGA;Organic;;Additional;;;;;JT;III;;;CFM56-3;726202;Engine teardown;;;30000;"- [1 Nov 2022] Request GTA to TSB
- [10 Nov 2022] GTA initial draft processing by TSB
- [11 Nov 2022] GTA draft sent to Customer for review.
- [30 Nov 2022] Customer informs that AFO Engineering will send the workscope.
- [12 Dec 2022] Waiting for workscope revision from AFO Engineering.
- [29 Dec 2022] Still waiting for workscope revision and GTA draft feedback. Induction plan to be carried over to 2023.";;2023-02-06;15;2023-02-21;2;Cancelled;Internal Customer;No response from Customer. Several communication attempted.
AFO Aircraft (NZ) Limited;Engine & APU;TMB Project;2023;NGA;Organic;;Additional;;;;;JT;III;;;CFM56-3;857542;Engine teardown;;;30000;"- [1 Nov 2022] Request GTA to TSB
- [10 Nov 2022] GTA initial draft processing by TSB
- [11 Nov 2022] GTA draft sent to Customer for review.
- [30 Nov 2022] Customer informs that AFO Engineering will send the workscope.
- [12 Dec 2022] Waiting for workscope revision from AFO Engineering.
- [29 Dec 2022] Still waiting for workscope revision and GTA draft feedback. Induction plan to be carried over to 2023.";;2023-02-13;15;2023-02-28;2;Cancelled;Internal Customer;No response from Customer. Several communication attempted.
Indokomas;IGTE;TMB Project;2023;NGA;Organic;;Additional;;;;;DY;I;;;Siemens;NA;OVH Generator;;;253333;Overhaul Generator Antam;;2023-01-17;90;2023-04-17;4;Cancelled;Internal Customer;Tender dihold untuk sementara dan akan diupdate kembali
